,GDP cycle
1948-01-01,0.020398447401979602
1948-04-01,0.024427393659537167
1948-07-01,0.017784391160486024
1948-10-01,0.006504791576477764
1949-01-01,-0.019846829617410577
1949-04-01,-0.0358630082263085
1949-07-01,-0.038345051770412475
1949-10-01,-0.05968875214804292
1950-01-01,-0.034202391479114524
1950-04-01,-0.017315860822841422
1950-07-01,0.007424546108126151
1950-10-01,0.013281235804747382
1951-01-01,0.01380756942080108
1951-04-01,0.01824079519060806
1951-07-01,0.026177090433672667
1951-10-01,0.01624687251663115
1952-01-01,0.015115050659751716
1952-04-01,0.0059011628880067946
1952-07-01,0.0021398535172121314
1952-10-01,0.023923781115823495
1953-01-01,0.032246338009553455
1953-04-01,0.03028226007070689
1953-07-01,0.015382388360285937
1953-10-01,-0.008765940487890589
1954-01-01,-0.02213857697680144
1954-04-01,-0.029365601075977743
1954-07-01,-0.02622009113876711
1954-10-01,-0.014710401719739252
1955-01-01,0.005801814985925802
1955-04-01,0.014521615368352947
1955-07-01,0.0207510450483257
1955-10-01,0.019785460265196342
1956-01-01,0.009162107010770804
1956-04-01,0.010851603157537859
1956-07-01,0.003571814156709152
1956-10-01,0.01363507446197687
1957-01-01,0.01383350491383073
1957-04-01,0.005481422453326168
1957-07-01,0.009041090450351064
1957-10-01,-0.007645583309509263
1958-01-01,-0.040397547657836874
1958-04-01,-0.04052320406140986
1958-07-01,-0.024591643418343523
1958-10-01,-0.00868977843189711
1959-01-01,0.002843216403467963
1959-04-01,0.017390749006391815
1959-07-01,0.010074613898353846
1959-10-01,0.004626255301873883
1960-01-01,0.018277866735420645
1960-04-01,0.004004989488601396
1960-07-01,-0.000295835618382867
1960-10-01,-0.022740012136237553
1961-01-01,-0.025911999365240135
1961-04-01,-0.019365598232893078
1961-07-01,-0.011020680176592634
1961-10-01,-0.0026377795397429793
1962-01-01,0.003655513079896977
1962-04-01,0.0009423478462426971
1962-07-01,0.0011405437359890414
1962-10-01,-0.007870547748442647
1963-01-01,-0.009570462500890997
1963-04-01,-0.011206377988814964
1963-07-01,-0.002462142358423236
1963-10-01,-0.009098965998783015
1964-01-01,-0.0015370676748869272
1964-04-01,-0.004096030402120476
1964-07-01,-0.002020582435468654
1964-10-01,-0.012354395038453703
1965-01-01,-0.001804381946435285
1965-04-01,-0.00249446020908195
1965-07-01,0.0064253859083400755
1965-10-01,0.016369549883808787
1966-01-01,0.02787597684683618
1966-04-01,0.019078316805803297
1966-07-01,0.015668441827529023
1966-10-01,0.012376655634419365
1967-01-01,0.01011940998038341
1967-04-01,4.467001320662689e-05
1967-07-01,-0.000846247127899602
1967-10-01,-0.0032699969157388153
1968-01-01,0.007349302850764516
1968-04-01,0.01470931456169211
1968-07-01,0.013570108816214344
1968-10-01,0.008968740673942932
1969-01-01,0.016277196926598236
1969-04-01,0.011363833072405072
1969-07-01,0.010228116852811553
1969-10-01,-0.002200054011524344
1970-01-01,-0.011102031636433196
1970-04-01,-0.0170314936934588
1970-07-01,-0.015185281137471307
1970-10-01,-0.033303977279299346
1971-01-01,-0.01389578343733433
1971-04-01,-0.015940799276870976
1971-07-01,-0.015236711459667873
1971-10-01,-0.020412757418929672
1972-01-01,-0.009739246905288823
1972-04-01,0.005171517502212453
1972-07-01,0.007093858484900295
1972-10-01,0.016315072921607054
1973-01-01,0.03350192267297025
1973-04-01,0.03721639858309089
1973-07-01,0.02497819658233702
1973-10-01,0.02758614373609447
1974-01-01,0.012199780571227947
1974-04-01,0.007855189823686715
1974-07-01,-0.008389265921822542
1974-10-01,-0.019123566385825796
1975-01-01,-0.03837606275057048
1975-04-01,-0.03847062502067011
1975-07-01,-0.028949633453757784
1975-10-01,-0.023263617877237408
1976-01-01,-0.008937021240848608
1976-04-01,-0.009731105679193774
1976-07-01,-0.012519610088476796
1976-10-01,-0.013672465004306744
1977-01-01,-0.010366619000373944
1977-04-01,0.0004417944187533607
1977-07-01,0.00993688454962971
1977-10-01,0.0016943003475198282
1978-01-01,-0.0032019990375804497
1978-04-01,0.026868343272813178
1978-07-01,0.02932716758830267
1978-10-01,0.03547346010890884
1979-01-01,0.030428769867649308
1979-04-01,0.025023301046179114
1979-07-01,0.026300098755600132
1979-10-01,0.02299028399045433
1980-01-01,0.020591030261874366
1980-04-01,-0.005563952906532776
1980-07-01,-0.011959959741481896
1980-10-01,0.0013660206171586253
1981-01-01,0.015609325100664151
1981-04-01,0.002933065274561386
1981-07-01,0.009446994585708524
1981-10-01,-0.0071285531356366505
1982-01-01,-0.028720038298409634
1982-04-01,-0.030495703666391094
1982-07-01,-0.04110767682042571
1982-10-01,-0.0479867258050195
1983-01-01,-0.04268592695449058
1983-04-01,-0.028476439290320954
1983-07-01,-0.017434196412891012
1983-10-01,-0.005939740541318628
1984-01-01,0.003933199802904852
1984-04-01,0.011316844572590412
1984-07-01,0.010974117976999764
1984-10-01,0.009084526295191964
1985-01-01,0.008592625166663481
1985-04-01,0.007201568372510181
1985-07-01,0.012224410818543419
1985-10-01,0.00956154909581386
1986-01-01,0.00888259480437803
1986-04-01,0.0035301863014627344
1986-07-01,0.0033548237961635863
1986-10-01,-0.0008238216304548018
1987-01-01,-0.002752519458251612
1987-04-01,-0.0011742531501983677
1987-07-01,-0.0014692903050921302
1987-10-01,0.006861008755858933
1988-01-01,0.0035797347696693294
1988-04-01,0.008475544383905742
1988-07-01,0.006451830862284069
1988-10-01,0.012123449414255916
1989-01-01,0.014978493231543766
1989-04-01,0.01562578919136648
1989-07-01,0.01634230411369586
1989-10-01,0.011915707717276902
1990-01-01,0.016627274879372322
1990-04-01,0.014291560397357017
1990-07-01,0.009147543064417007
1990-10-01,-0.005716328039556018
1991-01-01,-0.016097765430959754
1991-04-01,-0.014057181382796102
1991-07-01,-0.014828288455708716
1991-10-01,-0.01728755496553447
1992-01-01,-0.01148574886967424
1992-04-01,-0.006979437371301245
1992-07-01,-0.0036199146433819607
1992-10-01,7.694138564140474e-05
1993-01-01,-0.00514526951261729
1993-04-01,-0.006454871450042532
1993-07-01,-0.009036886542045153
1993-10-01,-0.0030989103957406172
1994-01-01,-0.001237821044226095
1994-04-01,0.004211327712120294
1994-07-01,0.0018207038429771671
1994-10-01,0.004788583437880689
1995-01-01,-0.0002920663459011763
1995-04-01,-0.006133900968626094
1995-07-01,-0.006681777359805352
1995-10-01,-0.009126229985188417
1996-01-01,-0.011060415038404159
1996-04-01,-0.0040845678044973965
1996-07-01,-0.00486741196392515
1996-10-01,-0.004373422827599782
1997-01-01,-0.007871120112376673
1997-04-01,-0.0013866502961583649
1997-07-01,0.0010138218558228829
1997-10-01,-0.00046084648140087836
1998-01-01,-0.0005024669409312565
1998-04-01,-0.001199035165154072
1998-07-01,0.0014472574328365795
1998-10-01,0.007822229924622448
1999-01-01,0.0077702426884851405
1999-04-01,0.006173335723026696
1999-07-01,0.010164838985257774
1999-10-01,0.01825863653274773
2000-01-01,0.013386952209497593
2000-04-01,0.023330865991059824
2000-07-01,0.01673991464030955
2000-10-01,0.015281593166964313
2001-01-01,0.004986331829705648
2001-04-01,0.00356516836399301
2001-07-01,-0.007695738708171973
2001-10-01,-0.01197392758216509
2002-01-01,-0.010200627075354518
2002-04-01,-0.011062852363991738
2002-07-01,-0.013521179912341807
2002-10-01,-0.01887978815835112
2003-01-01,-0.020274628815920792
2003-04-01,-0.01865582744874672
2003-07-01,-0.008768769241410013
2003-10-01,-0.004284370444741725
2004-01-01,-0.0058408316910636415
2004-04-01,-0.005042382940983359
2004-07-01,-0.0023027611925137137
2004-10-01,0.0011600582625330702
2005-01-01,0.005872397681834229
2005-04-01,0.004430242414139585
2005-07-01,0.00754431523787602
2005-10-01,0.008401966188115395
2006-01-01,0.01653321628794302
2006-04-01,0.014162094441887874
2006-07-01,0.011395334872785767
2006-10-01,0.01596564063226502
2007-01-01,0.014804165152936477
2007-04-01,0.01739055931847666
2007-07-01,0.020050013298167357
2007-10-01,0.02368780950162197
2008-01-01,0.015794713581675168
2008-04-01,0.019050049096474453
2008-07-01,0.011892505777309381
2008-10-01,-0.011626667459617934
2009-01-01,-0.024562526098963033
2009-04-01,-0.027731134262603874
2009-07-01,-0.025971596817598197
2009-10-01,-0.01711758156900345
2010-01-01,-0.015573551044839817
2010-04-01,-0.008939102151849454
2010-07-01,-0.00439585003746501
2010-10-01,-0.002454871874073561
2011-01-01,-0.00819404244914601
2011-04-01,-0.004669139244446896
2011-07-01,-0.008809924334974184
2011-10-01,-0.0014034052122955387
2012-01-01,0.0020320759792067378
2012-04-01,0.0017298717472709058
2012-07-01,-0.0017355958899951673
2012-10-01,-0.005619687725541667
2013-01-01,-0.00202024447166238
2013-04-01,-0.0061859888666120355
2013-07-01,-0.003945173873139751
2013-10-01,-0.001700408293867639
2014-01-01,-0.010357616204638376
2014-04-01,-0.002833713617572897
2014-07-01,0.0033142548189193377
2014-10-01,0.002906088652107286
2015-01-01,0.0063299855473069044
2015-04-01,0.007076396033051324
2015-07-01,0.004749471687746976
2015-10-01,0.0004760687781590889
2016-01-01,0.00033632288771556773
2016-04-01,-0.0022325268887932737
2016-07-01,-0.002365121366288747
2016-10-01,-0.0015141950027146578
2017-01-01,-0.0011367907424890689
2017-04-01,-0.0019603056230934612
2017-07-01,0.00041841010779997134
2017-10-01,0.005269718468841944
2018-01-01,0.01012855124204215
2018-04-01,0.01264188299160196
2018-07-01,0.014006069842212199
2018-10-01,0.013691185476162104
2019-01-01,0.017600714550534136
2019-04-01,0.018250002524673903
2019-07-01,0.021788772606884166
2019-10-01,0.02502955261255302
2020-01-01,0.009875251544681163
2020-04-01,-0.08663752247281664
2020-07-01,-0.016847081168130273
2020-10-01,-0.009338429018027838
